YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 11 12 00 261  3.0  4.6 99.00 99.00 99.00 999 1025.3  11.0  10.8 999.0 99.0 99.00
2004 11 12 01 256  2.8  3.7 99.00 99.00 99.00 999 1025.1  10.5  10.9 999.0 99.0 99.00
2004 11 12 02 250  2.9  4.1 99.00 99.00 99.00 999 1025.0  10.4  10.8 999.0 99.0 99.00
2004 11 12 03 266  1.5  2.6 99.00 99.00 99.00 999 1024.7  10.1  10.6 999.0 99.0 99.00
2004 11 12 04 264  0.7  2.8 99.00 99.00 99.00 999 1025.1  10.0  10.7 999.0 99.0 99.00
2004 11 12 05   6  2.5  3.9 99.00 99.00 99.00 999 1025.6   9.1  10.7 999.0 99.0 99.00
2004 11 12 06  40  4.5  8.9 99.00 99.00 99.00 999 1025.7   7.9  10.8 999.0 99.0 99.00
2004 11 12 07  30  4.1  6.0 99.00 99.00 99.00 999 1026.2   7.4  10.7 999.0 99.0 99.00
2004 11 12 08  42  4.7  7.4 99.00 99.00 99.00 999 1026.5   7.1  10.7 999.0 99.0 99.00
2004 11 12 09  49  5.3  8.0 99.00 99.00 99.00 999 1026.8   6.8  10.8 999.0 99.0 99.00
2004 11 12 10  50  5.9  8.0 99.00 99.00 99.00 999 1027.2   6.5  10.8 999.0 99.0 99.00
2004 11 12 11  54  5.9  7.2 99.00 99.00 99.00 999 1027.5   6.0  10.8 999.0 99.0 99.00
2004 11 12 12  43  4.2  7.1 99.00 99.00 99.00 999 1027.6   5.9  11.0 999.0 99.0 99.00
2004 11 12 13  61  6.5  8.5 99.00 99.00 99.00 999 1028.1   5.9  10.3 999.0 99.0 99.00
2004 11 12 14  54  5.9  8.0 99.00 99.00 99.00 999 1028.3   6.2  10.2 999.0 99.0 99.00
2004 11 12 15  47  6.4  9.3 99.00 99.00 99.00 999 1028.3   6.3  10.2 999.0 99.0 99.00
2004 11 12 16  46  5.1  8.3 99.00 99.00 99.00 999 1028.2   6.0  10.3 999.0 99.0 99.00
2004 11 12 17  44  5.0  7.4 99.00 99.00 99.00 999 1027.5   5.4  10.6 999.0 99.0 99.00
2004 11 12 18  39  5.8  7.9 99.00 99.00 99.00 999 1027.9   5.0  10.3 999.0 99.0 99.00
2004 11 12 19  44  7.1  9.4 99.00 99.00 99.00 999 1027.3   4.7  10.2 999.0 99.0 99.00
2004 11 12 20  36  5.8 10.1 99.00 99.00 99.00 999 1027.3   4.5  10.2 999.0 99.0 99.00
2004 11 12 21  39  6.3 10.2 99.00 99.00 99.00 999 1027.1   3.9  10.2 999.0 99.0 99.00
2004 11 12 22  38  4.6  7.2 99.00 99.00 99.00 999 1027.6   3.9  10.5 999.0 99.0 99.00
2004 11 12 23  39  5.6  7.9 99.00 99.00 99.00 999 1028.0   3.9  10.7 999.0 99.0 99.00
2004 11 13 00  40  5.9  9.7 99.00 99.00 99.00 999 1028.3   4.0  10.3 999.0 99.0 99.00
2004 11 13 01  45  6.2  9.9 99.00 99.00 99.00 999 1028.3   3.5   9.9 999.0 99.0 99.00
2004 11 13 02  40  6.2  9.7 99.00 99.00 99.00 999 1028.3   2.7   9.7 999.0 99.0 99.00
2004 11 13 03  40  5.2  8.6 99.00 99.00 99.00 999 1028.1   2.6   9.9 999.0 99.0 99.00
2004 11 13 04  42  5.9 10.1 99.00 99.00 99.00 999 1027.4   2.8  10.3 999.0 99.0 99.00
2004 11 13 05  37  6.2 10.1 99.00 99.00 99.00 999 1026.9   2.6  10.6 999.0 99.0 99.00
2004 11 13 06  37  6.1  9.2 99.00 99.00 99.00 999 1026.5   2.3  10.3 999.0 99.0 99.00
2004 11 13 07  37  7.1 11.1 99.00 99.00 99.00 999 1026.9   2.0  10.7 999.0 99.0 99.00
2004 11 13 09  35  8.8 12.1 99.00 99.00 99.00 999 1026.7   0.9  10.6 999.0 99.0 99.00
2004 11 13 10  30  7.6 11.5 99.00 99.00 99.00 999 1027.4   0.1  10.5 999.0 99.0 99.00
2004 11 13 11  30  7.6 12.9 99.00 99.00 99.00 999 1027.1   0.0  10.4 999.0 99.0 99.00
2004 11 13 12  29  7.1 12.0 99.00 99.00 99.00 999 1027.4  -0.1  10.5 999.0 99.0 99.00
2004 11 13 13  36  8.3 13.0 99.00 99.00 99.00 999 1027.4  -0.2  10.3 999.0 99.0 99.00
